"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Anthony Edwards,,8.4,7.5,4.3,3.8,0.8,,,,,
Tyrese Maxey,90.1,8.1,7.3,5.4,3.8,1.9,,,,,
John Logan,88.7,9.2,8.3,5.2,4.3,1.0,,,,,
DraÅ¾en PetroviÄ,84.7,8.4,7.7,2.8,2.5,,,,,,
Micheal Williams,83.8,9.0,7.6,5.7,5.6,0.7,0.3,0.0,-0.1,-0.1,-0.2
Payton Pritchard,81.5,8.6,6.1,3.1,2.5,0.6,,,,,
Darius Garland,81.0,8.1,7.6,6.3,2.7,1.2,-1.3,,,,
Darel Carrier,80.3,8.7,8.0,7.8,4.9,0.9,0.2,,,,
Eric Murdock,78.5,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1,
Austin Reaves,78.3,7.6,5.9,5.4,2.9,,,,,,
Bill Melchionni,77.0,8.4,6.5,4.8,3.3,1.8,1.6,1.5,1.1,-0.1,
