season,player_name,overall_pick,pred_score,pred_rank
2025,Cooper Flagg,1,0.9260292416231324,1
2025,Dylan Harper,2,0.8473760424416449,2
2025,Collin Murray-Boyles,9,0.8434182907957806,3
2025,Jeremiah Fears,7,0.8232680797365685,4
2025,Ace Bailey,5,0.818740339748129,5
2025,Tre Johnson,6,0.7916872894626382,6
2025,Khaman Maluach,10,0.7820009894943929,7
2025,Asa Newell,23,0.74885227171771,8
2025,VJ Edgecombe,3,0.7230860027684024,9
2025,Thomas Sorber,15,0.7083124158755755,10
2025,Derik Queen,13,0.6794212411184718,11
2025,Rasheer Fleming,31,0.6661385942494731,12
2025,Kon Knueppel,4,0.6582446911413127,13
2025,Will Riley,21,0.6337668859493342,14
2025,Jase Richardson,25,0.6298725001847496,15
2025,Adou Thiero,36,0.6211396264811834,16
2025,Cedric Coward,11,0.6099232869499689,17
2025,Lachlan Olbrich,55,0.5734438628471085,18
2025,Danny Wolf,27,0.554564905903938,19
2025,Carter Bryant,14,0.5309808096870414,20
2025,Maxime Raynaud,42,0.5295528362095188,21
2025,Drake Powell,22,0.5267789238858396,22
2025,Ryan Kalkbrenner,34,0.48341834684868495,23
2025,Johni Broome,35,0.4746468982587829,24
2025,Sion James,33,0.44507765821906325,25
2025,Tyrese Proctor,49,0.4244262810926012,26
2025,Liam McNeeley,29,0.41426260192644415,27
2025,Kam Jones,38,0.38183750297868085,28
2025,Nique Clifford,24,0.3745941264095948,29
2025,Will Richard,56,0.34551467262216273,30
2025,Taelon Peter,54,0.3191794427344573,31
2025,Micah Peavy,40,0.29291482958374015,32
2025,Javon Small,48,0.28094973155194214,33
2025,Kobe Sanders,50,0.2681608870243891,34
2025,Max Shulga,57,0.260717393231817,35
2025,John Tonje,53,0.24965226916391275,36
2025,Jahmai Mashack,59,0.2078839731389035,37
2025,Jamir Watkins,43,0.19347543121616134,38
2025,Brooks Barnhizer,44,0.1931096521190164,39
2025,Alijah Martin,39,0.1790720132391526,40
2025,Chaz Lanier,37,0.16785967891129933,41
2025,Koby Brea,41,0.1614027004765713,42
2025,Amari Williams,46,0.15524478098070862,43
