"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Josh Harrellson,,1.4,0.7,0.0,,,
Gene Tormohlen,90.1,1.4,0.8,0.1,0.0,0.0,0.0
Daniel Santiago,84.7,1.2,0.6,0.0,0.0,,
Robert Sacre,78.1,1.4,0.8,0.3,-0.1,,
Hank Beenders,74.5,1.1,0.9,-0.1,,,
Bernard James,74.5,1.2,0.5,0.1,,,
Rich Johnson,74.4,1.2,0.9,0.1,,,
John Shasky,73.8,1.9,0.7,-0.1,,,
Robert Swift,72.5,1.1,0.7,0.0,-0.2,,
P̩tur Gu̡mundsson,70.0,1.4,0.6,0.3,-0.1,,
Granville Waiters,69.8,1.3,0.5,0.2,0.0,-0.2,
