Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2020-21,21,NYK,NBA,SF,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,
2021-22,22,ATL,NBA,SF,2.0,0.0,9.0,7.0,11.0,0.636,6.0,10.0,0.6,1.0,1.0,1.0,0.909,2.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,22.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-25,25,GSW,NBA,SF,5.0,0.0,38.0,8.0,20.0,0.4,1.0,6.0,0.167,7.0,14.0,0.5,0.425,4.0,5.0,0.8,3.0,4.0,7.0,4.0,0.0,1.0,2.0,2.0,21.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,8.0,0.0,51.0,15.0,31.0,0.484,7.0,16.0,0.438,8.0,15.0,0.533,0.597,8.0,9.0,0.889,3.0,7.0,10.0,5.0,2.0,2.0,5.0,2.0,45.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,523.0,154.0,318.0,0.484,72.0,164.0,0.438,82.0,154.0,0.533,0.597,82.0,92.0,0.889,31.0,72.0,103.0,51.0,21.0,21.0,51.0,21.0,461.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,5.0,0.0,38.0,8.0,20.0,0.4,1.0,6.0,0.167,7.0,14.0,0.5,0.425,4.0,5.0,0.8,3.0,4.0,7.0,4.0,0.0,1.0,2.0,2.0,21.0,0.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,2.0,0.0,9.0,7.0,11.0,0.636,6.0,10.0,0.6,1.0,1.0,1.0,0.909,2.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,22.0,0.0,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,
