"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Timoth̩ Luwawu-Cabarrot,,1.7,0.9,0.8,0.8,0.3,0.2
Julian Wright,82.3,1.7,0.8,0.8,0.6,,
Stanley Johnson,81.4,1.8,1.0,0.6,0.5,0.4,0.0
Nassir Little,81.4,1.7,1.1,0.7,0.7,0.6,
Cartier Martin,79.6,1.3,0.8,0.7,0.7,0.4,0.1
Bruno Fernando,78.3,1.5,0.9,0.8,0.4,0.3,-0.1
Henry Walker,77.2,1.9,1.1,0.9,0.5,0.5,
Brian Scalabrine,76.9,1.7,1.4,1.0,0.9,0.3,-0.1
Semi Ojeleye,76.7,1.9,1.2,1.2,0.7,0.2,
Byron Houston,76.6,1.8,0.9,0.7,0.5,,
Pete Verhoeven,76.1,2.1,1.2,0.8,0.7,0.4,0.0
