"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Zeke Nnaji,,1.8,1.6,1.2,1.2,0.9,,,,
Larry Staverman,89.8,1.6,1.6,1.4,1.2,1.1,,,,
Michael Ruffin,87.2,1.9,1.7,1.2,1.0,0.6,0.2,0.1,0.0,0.0
Thon Maker,82.9,2.0,1.5,1.5,1.3,0.3,,,,
Rodney Carney,81.4,1.6,1.5,1.5,1.3,0.3,,,,
John Wallace,80.0,1.6,1.5,1.0,1.0,0.7,0.3,0.3,,
Al Thornton,79.8,2.2,1.6,1.3,1.1,,,,,
Togo Palazzi,79.2,2.0,1.7,1.6,0.8,0.6,-0.2,,,
Lance Thomas,78.6,1.7,1.2,1.2,0.9,0.9,0.1,0.0,-0.1,-0.4
Major Jones,78.1,1.3,1.3,1.2,0.9,0.7,0.1,,,
Marc Iavaroni,77.0,1.7,1.5,1.4,1.1,1.0,0.7,0.6,,
