"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Chris McCullough,,0.3,0.2,0.1
Jordan Mickey,83.0,0.3,0.1,0.1
Norvel Pelle,74.2,0.3,0.2,0.0
Juwan Morgan,71.9,0.3,0.3,0.1
Rayjon Tucker,71.2,0.4,0.2,0.2
Malcolm Miller,71.1,0.3,0.2,0.2
Quincy Lewis,70.8,0.3,0.3,0.1
Mamadi Diakite,68.6,0.3,0.3,0.2
Mfiondu Kabengele,67.9,0.2,0.2,0.1
Adrian Caldwell,66.6,0.4,0.1,0.0
KZ Okpala,64.2,0.5,0.1,0.1
