0
Career 1232 (99th)
Career NBA 1232 (99th)
Career Playoffs 207 (28th)
Career NBA Playoffs 207 (28th)
Career (Reg+Playoffs) 1439 (75th)
Career NBA (Reg+Playoffs) 1439 (75th)
