"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Jae Crowder,,7.3,6.7,4.4,4.3,3.9,3.8,3.3,2.6,2.3,1.6,1.5,1.2,0.1
Thurl Bailey,90.0,6.8,6.5,5.4,4.6,4.0,3.7,3.6,3.1,2.6,2.6,1.2,0.9,
Ed Pinckney,88.8,7.5,6.2,6.1,4.7,4.0,3.7,2.9,2.7,2.3,1.6,0.7,0.3,
Kenyon Martin,88.7,7.1,6.7,5.3,5.0,4.9,4.0,3.8,3.3,2.7,2.1,1.2,0.9,0.0
Al Harrington,88.5,5.9,5.4,4.3,3.9,3.9,3.8,3.5,2.6,2.1,1.6,1.2,1.0,-0.2
Matt Barnes,88.4,6.3,5.9,4.3,4.3,3.7,3.5,3.0,3.0,2.6,2.3,1.0,0.7,0.4
Joe Caldwell,87.9,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2.0,1.1,0.3,,
Rodney Rogers,87.3,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2.0,1.2,0.3,
Antoine Walker,86.5,6.7,6.6,5.0,4.8,3.9,3.6,2.6,2.6,1.7,0.9,0.1,-0.3,
Chris Morris,86.4,7.2,4.7,4.5,4.0,3.8,3.3,3.2,2.8,1.6,1.2,1.0,,
Matt Bonner,85.8,6.8,4.4,4.2,4.1,4.0,3.7,2.5,2.2,2.1,2.0,1.8,0.8,
