"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Zoran PlaniniÄ,,0.8,0.7,0.1
Kris Dunn,90.2,0.9,0.6,0.1
JaKarr Sampson,88.3,0.8,0.6,0.1
Skylar Mays,87.2,0.8,0.7,0.3
Litterial Green,87.1,0.8,0.8,0.1
Chasson Randle,87.0,0.7,0.6,0.0
Carlos Terry,86.1,0.8,0.8,-0.1
Patty Mills,85.4,0.9,0.7,0.0
Tarence Kinsey,85.0,0.9,0.6,0.0
Tony Bennett,84.3,0.9,0.7,0.0
LaBradford Smith,84.2,0.8,0.8,-0.1
