"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Kevin Martin,,10.2,9.5,8.4,7.0,5.5,5.3,4.7,4.2,3.3,1.9,1.2,0.1
Kemba Walker,93.9,9.9,8.6,8.1,7.4,5.9,5.1,4.8,4.5,3.3,1.8,0.3,0.3
Ron Boone,90.8,9.7,8.3,8.1,6.2,5.9,5.8,5.1,4.0,2.8,2.6,1.0,0.4
Billy Knight,90.6,10.7,8.4,8.3,7.1,6.0,5.8,5.8,4.3,3.7,3.4,0.4,
Dale Ellis,90.5,10.8,9.3,9.0,7.6,6.4,6.4,4.8,3.4,3.2,2.4,1.6,1.5
Fat Lever,90.5,10.4,9.7,9.2,8.8,5.2,4.8,4.5,4.4,2.9,1.3,0.0,
Larry Costello,90.1,9.2,8.6,8.5,8.0,5.9,5.7,5.7,3.5,3.4,2.5,1.5,0.2
Jeff Mullins,89.7,10.0,9.9,8.3,8.2,6.8,5.7,5.6,4.5,2.3,0.9,0.8,-0.3
JosÃ© CalderÃ³n,89.6,10.2,7.5,7.4,6.3,5.4,5.1,4.2,4.0,3.7,0.9,0.9,0.3
Doug Christie,88.9,8.9,8.7,8.6,7.0,5.7,5.1,4.2,4.0,1.4,1.4,0.1,-0.3
Doc Rivers,88.6,10.3,8.5,8.3,6.5,6.3,6.3,4.2,4.2,4.0,3.9,2.0,1.5
