"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
P.J. Washington,,3.4,2.7,2.6,2.4,2.0,1.9,,,,,
Kevin Restani,90.9,3.5,2.6,2.2,2.1,2.0,1.8,0.5,0.0,,,
James Ennis III,89.6,3.1,3.1,2.6,2.4,2.0,1.9,0.9,0.1,,,
Lew Hitch,88.0,3.6,3.3,2.7,2.2,2.2,1.2,,,,,
Derrick Williams,87.9,3.6,3.0,2.6,2.1,1.8,1.1,0.0,,,,
Edgar Jones,87.1,3.4,3.4,2.6,2.4,2.3,0.9,,,,,
Lavoy Allen,86.9,3.7,2.8,2.5,1.7,1.6,1.5,,,,,
Matt Bullard,86.1,3.4,2.6,2.5,2.4,1.8,1.7,1.0,0.6,0.5,0.2,0.1
E.C. Coleman,85.1,3.2,2.7,2.6,2.5,1.7,0.1,,,,,
Corky Calhoun,84.2,3.1,2.5,2.3,2.2,2.1,1.3,1.0,0.0,,,
Scott Padgett,84.2,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1,,,
