"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2013-14,21,DAL,NBA,PG,48,0,489,.380,.404,.316,.423,.640,.446,.182,.277,84,83,88,84,85,82,64,107,-21.3,-28.1,
2014-15,22,NYK,NBA,PG,76,22,1865,.433,.481,.302,.473,.782,.504,.181,.269,96,99,86,95,104,94,66,100,-19.4,-28.2,
2015-16,23,BRK,NBA,PG,78,17,1751,.442,.464,.361,.481,.776,.515,.213,.215,98,95,102,96,103,95,77,76,-21.5,-28.3,
2016-17,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2017-18,25,BOS,NBA,PG,54,2,775,.384,.398,.360,.454,.865,.491,.169,.393,83,78,100,87,113,88,67,117,-29.3,-30.7,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,256,41,4880,.422,.454,.336,.468,.777,.500,.191,.270,93,93,95,93,103,92,70,94,-91.5,-115.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,78,17,1751,.442,.464,.361,.481,.776,.515,.213,.215,98,95,102,96,103,95,77,76,-21.5,-28.3,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,76,22,1865,.433,.481,.302,.473,.782,.504,.181,.269,96,99,86,95,104,94,66,100,-19.4,-28.2,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,54,2,775,.384,.398,.360,.454,.865,.491,.169,.393,83,78,100,87,113,88,67,117,-29.3,-30.7,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,48,0,489,.380,.404,.316,.423,.640,.446,.182,.277,84,83,88,84,85,82,64,107,-21.3,-28.1,
