"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Isaiah Jackson,,3.3,2.7,1.4,0.3,,,,
Reggie Harding,91.2,3.1,2.6,1.6,0.0,,,,
Tarik Black,86.5,3.1,2.4,1.5,0.7,,,,
Salah Mejri,84.4,3.0,2.7,1.3,1.1,,,,
Å½eljko RebraÄa,83.7,3.3,2.4,1.3,0.7,0.5,,,
Day'Ron Sharpe,82.0,2.9,2.7,1.6,1.2,,,,
Travis Knight,81.8,3.3,3.0,1.1,0.6,0.2,-0.1,-0.3,
Bob Hopkins,80.1,3.5,2.7,1.9,1.4,,,,
Stanley Roberts,76.8,3.2,2.1,1.8,0.7,0.5,0.0,-0.1,-0.1
Brad Sellers,76.7,3.3,3.3,2.6,0.4,0.2,0.0,,
Gene Wiley,74.0,2.8,2.4,1.8,1.3,-0.1,,,
