"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Cameron Johnson,,5.6,5.1,3.5,3.3,2.7,2.6,,,
Dick Schnittker,89.9,6.2,5.3,3.5,2.8,2.6,1.6,,,
Bill Robinzine,88.3,6.9,5.5,3.4,3.0,2.4,2.3,-0.2,,
Naz Reid,87.7,5.7,4.9,3.2,3.2,3.0,0.8,,,
Gerald Govan,85.0,5.6,5.4,4.1,3.4,2.6,2.5,2.4,1.0,0.1
George Carter,84.5,6.4,4.4,4.2,4.1,2.9,2.2,0.2,0.0,
Michael Kidd-Gilchrist,84.5,5.8,3.8,3.3,3.1,2.5,2.1,0.6,-0.2,
Jaxson Hayes,84.3,5.1,3.9,3.7,3.5,2.5,1.5,,,
Willie Cauley-Stein,83.6,6.7,3.9,3.8,2.9,2.9,2.8,0.2,,
Ryan Gomes,83.4,4.8,4.2,3.1,2.5,2.5,2.4,0.0,-0.2,
Gary Trent,82.5,5.5,4.0,3.3,3.1,3.0,2.3,1.7,0.4,0.1
