"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Cameron Johnson,,5.6,5.1,3.5,3.3,2.7,2.6
Royce O'Neale,93.4,5.6,5.5,4.3,3.3,2.9,2.4
Billy Owens,93.4,5.7,5.6,3.2,3.2,2.8,2.2
Clyde Lee,92.6,6.1,5.1,3.5,3.1,2.2,2.1
Gerald Govan,91.9,5.6,5.4,4.1,2.6,2.5,2.4
OG Anunoby,91.7,5.7,4.7,3.7,3.1,3.0,2.0
Sam Mitchell,91.0,5.1,5.1,3.7,2.8,2.3,2.2
Larry Nance Jr.,90.9,5.8,4.9,3.9,3.5,2.2,1.8
Rick Fox,90.5,5.2,5.1,3.2,2.8,2.3,2.1
Aaron Gordon,90.1,5.4,5.1,3.7,3.7,2.9,1.0
Dick Schnittker,89.9,6.2,5.3,3.5,2.8,2.6,1.6
