"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Mark Williams,,4.7,2.8,2.1
Bryant Reeves,92.6,4.9,2.4,2.3
Kurt Nimphius,92.3,4.8,2.9,1.5
Kleggie Hermsen,91.7,4.3,2.9,1.9
Walter Dukes,91.1,4.2,2.8,2.4
Lee Knorek,88.7,5.1,2.5,1.7
Kelvin Cato,88.2,4.2,2.7,1.6
Matt Geiger,86.6,4.5,2.7,1.2
Oliver Miller,86.6,5.3,3.1,1.6
JaVale McGee,86.4,5.3,2.1,2.0
Ãmer AÅÄ±k,86.1,5.5,2.7,2.6
