"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Jabari Smith Jr.,,5.6,4.2,1.9
Ed Ratleff,95.1,5.6,4.5,2.1
Thaddeus Young,94.8,5.5,4.5,2.1
Albert King,94.4,5.7,4.3,2.4
Scottie Pippen,94.3,5.7,4.0,2.3
Cazzie Russell,94.1,5.9,4.1,2.2
Walt Budko,91.9,5.6,4.0,2.7
Orlando Woolridge,91.6,5.3,3.6,1.8
Leon Powe,91.3,4.9,4.3,1.7
Desmond Mason,91.0,5.2,4.7,1.7
Ed Conlin,90.5,4.7,4.3,2.0
