Feature                ,ROUND   ,count ,mean                 ,std                  ,min                 ,25%                 ,50%                 ,75%                 ,max
HEIGHT                 ,Round 1 ,532.0 , 78.0375939849624    , 3.1774268925998688  , 70.0               , 76.0               , 78.0               , 80.5               , 87.75
HEIGHT_CM              ,Round 1 ,532.0 ,198.21548872180452   , 8.070664307203666   ,177.8               ,193.04              ,198.12              ,204.47              ,222.885
WEIGHT                 ,Round 1 ,530.0 ,215.4298113207547    ,24.429144057036012   ,161.0               ,197.7               ,214.1               ,230.35              ,314.0
WINGSPAN               ,Round 1 ,533.0 , 82.85825515947467   , 3.8444603435680675  , 70.75              , 80.25              , 83.0               , 85.5               , 94.75
BODY_FAT_PCT           ,Round 1 ,404.0 ,  7.04779702970297   , 2.4560651312463513  ,  2.6               ,  5.4               ,  6.5               ,  8.0               , 21.0
BMI                    ,Round 1 ,530.0 , 24.814260461771976  , 1.842132313529424   , 20.175690411394477 , 23.59723619284946  , 24.671644864195933 , 25.88798313505744  , 32.828970850684115
STANDING_VERTICAL_LEAP ,Round 1 ,439.0 , 29.83883826879271   , 2.9514373510636505  , 21.5               , 28.0               , 30.0               , 32.0               , 41.5
MAX_VERTICAL_LEAP      ,Round 1 ,439.0 , 35.34282460136674   , 3.4763239971400854  , 25.0               , 33.0               , 35.5               , 37.75              , 48.0
LANE_AGILITY_TIME      ,Round 1 ,437.0 , 11.273569794050346  , 0.5200737225467876  , 10.07              , 10.9               , 11.15              , 11.58              , 13.08
THREE_QUARTER_SPRINT   ,Round 1 ,439.0 ,  3.252733485193622  , 0.12833602989903412 ,  2.87              ,  3.16              ,  3.24              ,  3.32              ,  3.81
BENCH_PRESS            ,Round 1 ,307.0 , 10.0                , 5.230003936563584   ,  0.0               ,  6.0               , 10.0               , 13.5               , 26.0
HEIGHT                 ,Round 2 ,466.0 , 77.51716738197425   , 3.2551820261754836  , 68.25              , 75.25              , 77.5               , 79.75              , 87.0
HEIGHT_CM              ,Round 2 ,466.0 ,196.89360515021463   , 8.26816234648573    ,173.355             ,191.135             ,196.85              ,202.565             ,220.98
WEIGHT                 ,Round 2 ,466.0 ,213.39463519313307   ,24.699286332817408   ,149.2               ,195.65              ,211.4               ,230.14999999999998  ,316.0
WINGSPAN               ,Round 2 ,466.0 , 82.17618025751072   , 3.797153886301496   , 70.0               , 79.5               , 82.0               , 85.0               , 91.75
BODY_FAT_PCT           ,Round 2 ,349.0 ,  7.079828080229227  , 2.6987623758240105  ,  2.7               ,  5.2               ,  6.5               ,  8.3               , 21.4
BMI                    ,Round 2 ,466.0 , 24.926550258894235  , 2.025789406810379   , 19.56154928620646  , 23.526367670200685 , 24.797827892546803 , 26.08416605693585  , 34.49469628594443
STANDING_VERTICAL_LEAP ,Round 2 ,427.0 , 29.517564402810304  , 3.0915674598988545  , 22.0               , 27.5               , 29.5               , 31.5               , 37.5
MAX_VERTICAL_LEAP      ,Round 2 ,426.0 , 34.985915492957744  , 3.6965534004331007  , 21.0               , 32.5               , 35.0               , 37.5               , 44.5
LANE_AGILITY_TIME      ,Round 2 ,423.0 , 11.330992907801418  , 0.5242362600466376  ,  9.65              , 10.98              , 11.29              , 11.635000000000002 , 14.01
THREE_QUARTER_SPRINT   ,Round 2 ,425.0 ,  3.2745176470588238 , 0.13319483280148917 ,  2.94              ,  3.18              ,  3.26              ,  3.36              ,  3.7
BENCH_PRESS            ,Round 2 ,267.0 , 10.329588014981274  , 5.317369839505372   ,  0.0               ,  6.0               , 10.0               , 14.0               , 25.0
