"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Jaxson Hayes,,5.1,3.9,3.7,3.5,2.5,1.5,,,,
Andray Blatche,90.7,4.9,3.7,3.4,3.0,2.4,1.4,0.5,0.1,-0.1,
Hakim Warrick,87.7,4.7,4.0,3.7,3.4,3.3,0.8,0.5,0.0,,
Tyler Hansbrough,87.4,4.4,3.9,3.8,3.4,3.0,1.0,0.7,,,
Terry Catledge,86.2,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,,
Kenny Walker,86.2,4.7,4.0,3.1,2.7,1.9,1.3,0.1,,,
Michael Kidd-Gilchrist,85.5,5.8,3.8,3.3,3.1,2.5,2.1,0.6,-0.2,,
Paul Griffin,85.4,4.9,4.4,4.1,2.9,1.6,1.4,0.4,,,
Dave Stallworth,85.4,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0.0,,
Len Chappell,85.2,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1
DeJuan Blair,84.7,4.8,4.6,4.0,3.4,2.2,0.1,-0.1,,,
