"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Jaxson Hayes,,5.1,3.9,3.7,3.5,2.5,1.5
Patrick Patterson,91.8,6.1,4.1,3.8,3.6,2.4,1.6
Charlie Villanueva,91.7,4.9,3.9,3.5,3.1,1.7,1.7
Ollie Johnson,90.8,4.8,4.1,3.6,2.9,2.6,2.0
Jan van Breda Kolff,90.5,4.5,3.9,3.8,3.6,3.4,1.2
Stromile Swift,90.3,4.8,3.7,3.3,2.9,2.5,1.9
Michael Smith,89.7,5.4,3.7,3.3,3.1,2.3,2.1
Dave Stallworth,89.7,3.9,3.8,3.7,3.4,2.8,1.7
Hakim Warrick,89.7,4.7,4.0,3.7,3.4,3.3,0.8
Kurt Rambis,89.5,4.3,4.3,4.1,3.9,2.3,1.5
Tim Thomas,89.4,5.5,3.8,3.4,2.9,2.2,2.2
