Season,Team,Lg,Salary
2001-02,Cleveland Cavaliers,NBA,"$1,842,480"
2002-03,Cleveland Cavaliers,NBA,"$1,980,600"
2003-04,Cleveland Cavaliers,NBA,"$2,118,840"
2004-05,Cleveland Cavaliers,NBA,"$2,695,164"
2005-06,Dallas Mavericks,NBA,"$1,850,000"
2006-07,Dallas Mavericks,NBA,"$1,998,000"
2007-08,New Jersey Nets,NBA,"$2,146,000"
2008-09,Charlotte Bobcats,NBA,"$5,585,000"
2009-10,Charlotte Bobcats,NBA,"$6,031,800"
2010-11,Charlotte Bobcats,NBA,"$6,478,600"
2011-12,Charlotte Bobcats,NBA,"$6,925,400"
2012-13,Charlotte Bobcats,NBA,"$7,372,200"
Career,(may be incomplete),,"$47,024,084"
