"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Obi Toppin,,4.8,4.3,3.9,2.1,1.5
Shandon Anderson,96.4,4.9,4.2,3.9,2.0,1.2
Kurt Rambis,94.3,4.3,4.3,4.1,2.3,1.5
Paul Griffin,93.2,4.9,4.4,4.1,2.9,1.6
Adam Keefe,92.2,4.6,4.1,3.3,2.3,1.4
Phil Hubbard,92.1,4.6,4.5,3.4,2.6,1.6
Danny Fortson,92.0,4.5,4.4,3.5,1.9,1.1
Charlie Villanueva,91.5,4.9,3.9,3.5,1.7,1.7
Bob Harris,91.4,5.0,4.3,3.4,1.9,1.0
Isaiah Stewart,90.8,4.3,4.0,3.4,2.0,1.7
Jaxson Hayes,90.3,5.1,3.9,3.5,2.5,1.5
