Season,Team,Lg,Salary
2009-10,Toronto Raptors,NBA,"$2,282,640"
2010-11,Toronto Raptors,NBA,"$2,453,880"
2011-12,Toronto Raptors,NBA,"$2,625,000"
2012-13,Toronto Raptors,NBA,"$3,344,250"
2013-14,Toronto Raptors,NBA,"$9,500,000"
2014-15,Toronto Raptors,NBA,"$9,500,000"
2015-16,Toronto Raptors,NBA,"$9,500,000"
2016-17,Toronto Raptors,NBA,"$26,540,100"
2017-18,Toronto Raptors,NBA,"$27,739,975"
2018-19,San Antonio Spurs,NBA,"$27,739,975"
2019-20,San Antonio Spurs,NBA,"$27,739,975"
2020-21,San Antonio Spurs,NBA,"$27,739,975"
2021-22,Chicago Bulls,NBA,"$26,000,000"
2022-23,Chicago Bulls,NBA,"$27,300,000"
2023-24,Chicago Bulls,NBA,"$28,600,000"
2024-25,Sacramento Kings,NBA,"$23,400,000"
Career,(may be incomplete),,"$282,005,770"
