"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Daniel Gibson,,4.1,3.8,2.6,2.4,2.0,0.5,0.5,,
De'Anthony Melton,88.2,4.2,3.7,2.2,2.1,1.7,0.2,0.0,,
Kenrich Williams,85.3,3.6,3.3,2.8,2.5,1.8,1.2,0.9,,
Bob Hansen,85.2,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1
T.J. Ford,84.8,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,
Fred Jones,84.8,4.8,4.0,2.6,2.2,1.6,1.2,0.0,,
Trenton Hassell,84.7,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1
Charlie Criss,84.5,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0.0,
Whitey Skoog,84.2,4.1,3.6,2.9,1.9,1.0,0.7,,,
John Konchar,83.9,4.2,3.5,2.2,1.7,1.5,0.7,,,
Adrian Griffin,83.8,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0.0
