"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Daniel Gibson,,4.1,3.8,2.6,2.4,2.0,0.5,0.5
Darrell Griffith,90.1,3.5,3.5,2.8,2.5,2.1,0.8,0.4
Jamaal Tinsley,89.8,4.4,3.7,2.8,2.8,1.7,0.8,0.7
Alex Caruso,88.3,4.9,3.6,2.4,2.3,2.0,1.0,0.5
Gerald Henderson,88.2,3.6,3.6,3.3,2.4,2.0,1.0,0.4
De'Anthony Melton,88.2,4.2,3.7,2.2,2.1,1.7,0.2,0.0
Sedale Threatt,87.6,4.6,3.4,2.7,2.5,2.1,1.3,0.1
T.J. Ford,85.3,4.3,4.3,3.3,2.5,1.4,0.7,0.2
Adrian Griffin,85.3,3.9,3.5,2.9,2.9,1.3,0.4,0.1
Kenrich Williams,85.3,3.6,3.3,2.8,2.5,1.8,1.2,0.9
MickaÃ«l PiÃ©trus,85.1,3.6,3.6,3.0,2.8,2.1,1.5,0.6
