Season,Team,Lg,Salary
2013-14,Los Angeles Clippers,NBA,"$1,149,000"
2014-15,Phoenix Suns,NBA,"$1,200,720"
2015-16,Detroit Pistons,NBA,"$1,252,440"
2016-17,Detroit Pistons,NBA,"$2,255,644"
2017-18,Detroit Pistons,NBA,"$2,500,000"
2018-19,Los Angeles Lakers,NBA,"$2,500,000"
2019-20,New York Knicks,NBA,"$4,000,000"
2020-21,New York Knicks,NBA,"$4,200,000"
2021-22,Dallas Mavericks,NBA,"$9,536,000"
2022-23,Dallas Mavericks,NBA,"$10,012,800"
2023-24,San Antonio Spurs,NBA,"$11,014,080"
2023-24,Houston Rockets,NBA,"$2,019,706"
Career,(may be incomplete),,"$51,640,390"
