"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Salim Stoudamire,,1.2,0.8,0.3,,
Mike D'Antoni,89.6,1.0,0.8,0.3,0.0,
Matt Thomas,85.7,1.2,0.6,0.2,,
Trent Forrest,84.2,1.3,0.7,0.2,-0.1,
Vonteego Cummings,83.8,1.3,0.6,0.2,,
Dalen Terry,83.1,1.1,0.8,0.5,,
Frank Jackson,82.9,1.2,0.7,0.4,0.2,0.0
Nick Jones,82.5,1.3,0.7,0.2,0.0,-0.2
Phil Rollins,82.3,1.1,0.7,0.1,,
Brooks Thompson,81.3,1.1,0.6,0.2,0.1,
Chris Duarte,81.1,0.9,0.7,0.3,0.0,
