"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Justin Patton,,0.4,0.0,0.0,0.0
Marques Bolden,78.3,0.3,0.0,0.0,
Oleksiy Pecherov,61.0,0.5,0.1,0.0,
Tacko Fall,47.5,0.5,0.2,0.1,
Matt Fish,38.8,0.4,0.2,0.0,
Alan Ogg,38.5,0.5,0.3,0.0,
Arinze Onuaku,36.9,0.3,0.0,0.0,
Patrick O'Bryant,32.3,0.3,0.2,0.0,0.0
Micah Potter,21.0,0.4,0.3,0.2,0.0
George ZÃ­dek,18.5,0.6,0.3,0.0,
Mike Peplowski,16.9,0.9,0.1,0.0,
