Season,Team,Lg,Salary
2006-07,Memphis Grizzlies,NBA,"$1,011,720"
2007-08,Memphis Grizzlies,NBA,"$1,087,680"
2008-09,Houston Rockets,NBA,"$1,163,520"
2009-10,Houston Rockets,NBA,"$2,034,997"
2010-11,Houston Rockets,NBA,"$5,750,000"
2011-12,Houston Rockets,NBA,"$5,750,000"
2012-13,Toronto Raptors,NBA,"$5,750,000"
2013-14,Toronto Raptors,NBA,"$6,210,000"
2014-15,Toronto Raptors,NBA,"$12,000,000"
2015-16,Toronto Raptors,NBA,"$12,000,000"
2016-17,Toronto Raptors,NBA,"$12,000,000"
2017-18,Toronto Raptors,NBA,"$28,703,704"
2018-19,Toronto Raptors,NBA,"$31,200,000"
2019-20,Toronto Raptors,NBA,"$33,296,296"
2020-21,Toronto Raptors,NBA,"$30,500,000"
2021-22,Miami Heat,NBA,"$26,984,128"
2022-23,Miami Heat,NBA,"$28,333,334"
2023-24,Charlotte Hornets,NBA,"$29,682,540"
2023-24,Philadelphia 76ers,NBA,"$2,795,839"
2024-25,Philadelphia 76ers,NBA,"$2,087,519"
Career,(may be incomplete),,"$278,341,277"
