"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Joe Harris,,5.5,5.2,4.3,4.0,2.6,0.8,0.5,0.2,0.0,0.0
Monte Morris,91.8,6.2,5.4,4.2,3.8,2.9,1.2,0.8,0.2,,
Terance Mann,89.9,5.5,4.3,4.2,3.7,3.0,0.8,,,,
Frank Selvy,86.3,5.9,5.5,4.1,3.6,2.4,2.3,0.6,0.0,-0.6,
Eric Murdock,86.0,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1,
Vincent Askew,85.6,6.0,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,
Duncan Robinson,85.4,5.3,3.9,3.7,3.6,2.7,0.5,0.2,,,
Belus Smawley,85.4,5.6,5.3,5.0,4.5,3.0,-0.6,,,,
Chris Duhon,85.2,5.2,4.8,4.2,4.1,2.3,1.9,1.3,1.0,0.2,
Donte DiVincenzo,85.1,6.6,4.3,4.2,3.9,3.6,0.7,0.6,,,
Phil Ford,83.3,6.1,5.7,5.2,2.9,2.4,0.9,0.2,,,
