"('Thru 17 Years', 'Player')","('Thru 17 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')"
Nen̻,,10.8,9.6,9.3,6.1,5.3,5.0,4.1,4.0,3.2,3.2,3.0,2.7,2.7,2.6,1.4,0.3,-0.1
Kevin Willis,89.3,10.2,8.8,8.6,6.0,6.0,4.7,4.7,4.4,4.2,3.8,3.6,3.1,2.7,2.4,2.3,2.2,1.7
Gordon Hayward,88.1,10.4,8.9,8.7,5.7,5.4,4.9,4.9,3.6,3.5,2.8,2.0,1.5,1.2,0.0,,,
Draymond Green,86.5,11.1,8.5,8.2,6.1,4.7,4.6,4.5,4.3,3.7,3.6,3.6,1.1,0.6,,,,
Zach Randolph,86.2,10.5,9.7,7.9,7.2,7.1,6.4,5.7,4.8,4.3,3.2,3.1,3.0,3.0,2.1,1.5,1.3,0.5
Richard Jefferson,85.9,11.7,11.0,9.9,7.6,6.6,6.0,5.9,4.7,3.4,3.1,2.7,2.7,2.4,2.3,2.1,1.0,0.1
Bob Boozer,85.5,11.6,10.6,9.4,5.9,5.8,5.3,3.9,3.9,3.7,2.8,1.4,,,,,,
Tom Chambers,84.7,11.2,9.2,7.4,6.4,6.1,5.9,5.4,4.8,4.5,4.4,4.3,3.9,3.3,2.5,0.1,-0.4,
Serge Ibaka,83.4,9.6,9.4,7.6,6.2,6.1,5.6,5.5,5.1,5.1,3.9,3.7,3.0,2.0,0.2,,,
Paul Silas,82.8,11.5,11.0,7.7,7.2,7.2,6.9,6.7,3.9,3.3,3.3,3.1,2.5,2.2,1.8,1.2,0.5,
Jerome Kersey,82.4,8.8,8.6,6.8,6.8,6.7,6.4,3.8,3.6,3.4,3.2,2.5,2.4,2.2,2.1,1.2,0.6,0.5
