"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Lazar Hayward,,0.3,0.1,-0.1
Ignas Brazdeikis,50.1,0.5,0.1,-0.1
Scooter McCray,49.4,0.3,0.1,0.0
Joe Courtney,44.4,0.4,0.1,0.0
Bob Bigelow,44.1,0.4,0.0,0.0
Pops Mensah-Bonsu,44.0,0.3,0.0,0.0
David Vaughn,43.6,0.4,0.1,-0.1
Greg Brown III,38.9,0.4,0.0,-0.1
Andre Brown,38.8,0.4,0.0,-0.1
Jordan Mickey,37.1,0.3,0.1,0.1
Dan Langhi,36.1,0.4,0.0,-0.1
