"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Justin Patton,,0.4,0.0,0.0,0.0
Marques Bolden,78.3,0.3,0.0,0.0,
Oleksiy Pecherov,61.0,0.5,0.1,0.0,
Tacko Fall,47.5,0.5,0.2,0.1,
Chris Engler,40.0,0.3,0.2,0.0,0.0
Matt Fish,38.8,0.4,0.2,0.0,
Alan Ogg,38.5,0.5,0.3,0.0,
Jawann Oldham,38.4,0.5,0.3,0.0,0.0
Greg Kite,38.3,0.7,0.1,0.1,0.0
Arinze Onuaku,36.9,0.3,0.0,0.0,
Patrick O'Bryant,32.3,0.3,0.2,0.0,0.0
