"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Tyler Ulis,,0.7,0.0,-0.2
Nickeil Alexander-Walker,70.1,0.7,0.1,-0.2
Tim Legler,64.4,0.8,0.0,-0.1
Carl Thomas,64.2,0.7,0.0,0.0
John Lucas III,61.7,0.6,0.0,-0.1
Rick Brunson,60.0,0.6,-0.1,-0.2
Jermaine Jackson,58.2,0.6,0.2,-0.2
Bryce McGowens,57.4,0.6,0.1,-0.1
Phil Pressey,53.7,0.8,0.1,-0.1
Stanley Umude,52.2,0.5,0.0,-0.2
Darrun Hilliard,52.0,0.5,0.0,-0.2
