Season,Team,Lg,Salary
2012-13,Boston Celtics,NBA,"$1,306,920"
2013-14,Boston Celtics,NBA,"$1,365,720"
2014-15,Boston Celtics,NBA,"$1,424,520"
2015-16,Boston Celtics,NBA,"$2,269,260"
2016-17,Phoenix Suns,NBA,"$5,628,000"
Career,(may be incomplete),,"$11,994,420"
