"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Quentin Grimes,,4.8,3.4,1.4,1.3,,,,,,
Al Smith,85.9,4.5,3.3,1.8,0.9,0.6,,,,,
Rick Mount,85.2,4.6,3.5,1.1,0.7,0.6,,,,,
Kelenna Azubuike,84.6,4.1,3.4,1.2,0.7,-0.1,,,,,
Jalen Green,84.6,5.1,3.1,1.8,0.7,,,,,,
Roger Mason,83.6,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1
Aaron Wiggins,81.7,5.4,3.7,2.6,1.2,,,,,,
Skeeter Swift,81.3,4.3,3.4,2.7,1.8,0.0,,,,,
Gene Vance,81.2,5.3,2.2,1.6,1.3,0.0,,,,,
Dyson Daniels,80.8,5.0,2.9,1.3,,,,,,,
Cole Anthony,79.9,3.7,3.6,2.0,1.6,0.0,,,,,
