Season,Team,Lg,Salary
2021-22,New York Knicks,NBA,"$2,168,760"
2022-23,New York Knicks,NBA,"$2,277,000"
2023-24,Detroit Pistons,NBA,"$2,385,720"
2024-25,Philadelphia 76ers,NBA,"$4,296,682"
Career,(may be incomplete),,"$11,128,162"
