"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Rodney Hood,,6.0,2.7,2.6,2.6,2.2,1.1,0.7,-0.4,,,
Bob Hansen,83.0,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1,,
Larry Miller,82.8,6.2,3.4,3.2,3.0,2.4,1.3,0.0,,,,
John Bagley,81.7,4.6,3.0,2.6,2.6,1.9,1.1,0.9,0.4,0.0,-0.2,-0.3
Todd Day,81.1,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1,,,
Malik Sealy,80.0,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2,,,
Jim Price,78.9,5.0,3.7,2.7,2.6,2.4,1.8,1.5,,,,
Chris Whitney,78.2,6.5,4.0,3.2,2.7,2.3,1.3,1.0,0.6,0.2,-0.2,-0.3
Kevin Huerter,77.6,4.9,3.6,2.9,2.8,1.9,1.6,1.5,,,,
George Senesky,77.0,6.2,4.4,3.6,2.6,2.3,2.0,0.5,0.3,,,
Collin Sexton,77.0,5.5,3.5,2.5,2.5,2.4,-0.1,-0.6,,,,
