"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Wayne Ellington,,4.5,3.3,3.2,2.6,1.9,1.2,1.0,0.8,0.8,0.7,0.4,0.4,0.3
Anthony Johnson,86.9,4.5,4.0,3.6,2.8,2.0,1.8,1.2,1.1,1.0,0.7,0.4,0.3,-0.2
Devean George,84.8,4.2,3.4,2.7,2.6,2.1,1.3,0.7,0.7,0.6,0.3,-0.3,,
Randy Foye,82.3,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1.0,0.4,0.2,,
Reggie Bullock,82.0,4.6,4.2,3.2,3.1,2.8,1.2,1.0,0.6,0.5,0.2,0.1,,
Keyon Dooling,82.0,3.7,3.7,2.9,2.1,1.5,1.4,1.1,0.7,0.6,0.3,0.3,0.2,0.0
Darnell Valentine,81.6,5.0,3.7,3.4,3.1,1.7,1.7,1.5,1.1,1.0,,,,
Scott Brooks,81.4,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,1.0,0.7,,,
John Bagley,81.0,4.6,3.0,2.6,2.6,1.9,1.1,0.9,0.4,0.0,-0.2,-0.3,,
MickaÃ«l PiÃ©trus,80.9,3.6,3.6,3.0,2.8,2.1,1.5,1.3,1.2,0.6,0.0,,,
Jamaal Tinsley,80.8,4.4,3.7,2.8,2.8,1.7,0.9,0.8,0.7,0.1,-0.3,-0.3,,
