"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Tyler Ulis,,0.7,0.0,-0.2
Carl Thomas,64.2,0.7,0.0,0.0
Bryce McGowens,57.4,0.6,0.1,-0.1
Phil Pressey,53.7,0.8,0.1,-0.1
Stanley Umude,52.2,0.5,0.0,-0.2
Darrun Hilliard,52.0,0.5,0.0,-0.2
Sergey Karasev,48.0,0.7,0.3,-0.1
Tom Ingelsby,46.4,0.7,0.1,0.0
Wendell Moore Jr.,42.1,0.7,0.1,0.1
Lester Qui̱ones,42.0,0.6,0.0,-0.1
Othyus Jeffers,39.8,0.7,0.1,0.1
