Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2013-14,26,POR,NBA,C,9,0,24,0.0,6.3,0.0,0.0,0.0,0.0,6.3,0.0,0.0,2.1,4.2,0.5,8.5,8.5,16.9,2.1,2.1,2.1,8.5,14.8,2.1,48.0,109,
2014-15,27,POR,NBA,C,2,0,7,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,7.5,7.5,0.0,7.5,0.0,0.0,0.0,0.0,,97,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,11,0,31,0.0,4.9,0.0,0.0,0.0,0.0,4.9,0.0,0.0,1.6,3.3,0.5,6.6,8.2,14.8,1.6,3.3,1.6,6.6,11.5,1.6,48.0,106,
