"('Thru 15 Years', 'Player')","('Thru 15 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Derrick Rose,,13.1,6.0,6.0,4.9,3.1,3.0,3.0,2.5,1.4,1.2,0.4,0.4,0.0,-0.2,-0.2
Dana Barros,87.7,12.7,5.6,5.6,4.7,3.6,3.5,3.4,2.5,2.4,2.3,1.8,1.0,0.5,0.1,
Wesley Person,80.7,10.3,6.9,5.2,4.0,3.8,3.7,3.3,2.6,1.6,1.3,1.2,,,,
Derek Anderson,79.9,9.9,8.1,5.3,5.3,3.6,3.3,2.9,2.1,1.6,1.3,0.3,,,,
Josh Hart,79.1,9.2,6.0,5.7,4.4,3.4,3.1,2.7,2.1,,,,,,,
Monta Ellis,78.0,9.0,6.0,4.9,4.6,4.3,4.0,3.6,2.6,1.3,1.1,0.5,0.2,,,
Eric Snow,77.2,8.4,6.1,5.5,5.5,3.8,3.8,2.8,2.1,1.9,1.9,1.3,0.5,-0.1,,
Eddie Johnson,76.4,8.2,6.9,6.3,4.8,4.2,3.5,3.0,1.7,1.5,0.8,,,,,
Phil Smith,75.8,9.4,7.0,6.3,5.2,4.8,2.9,2.2,1.7,1.6,,,,,,
Vinny Del Negro,75.6,8.3,6.8,5.7,3.7,3.5,3.1,2.5,2.2,1.6,1.6,1.5,0.0,,,
Kendall Gill,75.5,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.9,1.8,0.7,0.5,0.4,-0.4
