"('Thru 14 Years', 'Player')","('Thru 14 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
James Jones,,4.7,4.0,3.7,2.5,2.2,1.7,1.5,1.2,1.0,0.9,0.8,0.7,0.2,0.0
Shandon Anderson,87.3,4.9,4.2,3.9,2.7,2.1,2.0,1.7,1.2,0.5,0.4,,,,
Pat Cummings,87.2,4.2,4.0,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1,,
Corey Brewer,86.1,5.2,3.9,3.1,2.3,2.3,1.2,1.2,1.1,1.0,1.0,0.3,0.0,-0.2,
James Johnson,86.1,5.1,5.0,4.1,3.0,2.6,1.7,1.5,1.3,1.2,1.1,0.8,0.6,0.1,-0.5
Charlie Villanueva,84.4,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1,,,
Reggie Evans,84.2,4.3,3.8,3.0,2.7,2.3,2.1,1.9,1.7,1.5,1.3,1.3,1.2,0.2,
Scott Williams,83.5,3.9,3.9,3.4,3.1,2.6,2.3,1.7,1.7,1.1,1.1,0.9,0.4,0.3,-0.1
Luc Mbah a Moute,82.6,4.8,4.7,4.0,3.1,2.8,2.4,1.6,1.1,1.0,0.5,0.0,0.0,,
Kwame Brown,82.4,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.4,0.1,-0.1,,
Fred Roberts,82.2,4.2,3.9,3.5,3.0,2.6,2.2,2.0,1.9,1.8,0.6,0.4,0.2,0.0,
