"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Rudy FernÃ¡ndez,,6.1,3.8,3.0,1.2
Vernon Maxwell,95.0,5.9,3.9,2.8,1.5
Chris Childs,92.5,5.8,3.9,3.7,1.2
Terrell Brandon,92.4,5.6,3.9,2.9,0.9
Jrue Holiday,91.8,5.7,4.2,3.3,1.2
Nate Robinson,91.5,5.9,3.2,3.2,1.5
Bimbo Coles,91.2,5.7,3.2,3.0,1.1
Aaron Wiggins,90.8,5.4,3.7,2.6,1.2
Monte Morris,90.7,6.2,3.8,2.9,0.2
Buddy Hield,90.5,5.9,3.0,2.8,1.3
Å arÅ«nas MarÄiulionis,90.1,6.4,3.8,3.0,2.5
