0
Active 7887 (13th)
Career 7887 (95th)
Career NBA 7887 (83rd)
Career Playoffs 1327 (32nd)
Career NBA Playoffs 1327 (28th)
Career (Reg+Playoffs) 9214 (77th)
Career NBA (Reg+Playoffs) 9214 (69th)
