Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2024-25,22,MIL,NBA,PG,3,1,30,4,13,0.308,2,7,0.286,2,6,0.333,0.385,0,0,1,1,2,4,1,0,0,4,10,0,
1 Yr,1 Yr,1 Yr,1 Yr,,3,1,30,4,13,0.308,2,7,0.286,2,6,0.333,0.385,0,0,1,1,2,4,1,0,0,4,10,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,27,820,109,355,0.308,55,191,0.286,55,164,0.333,0.385,0,0,27,27,55,109,27,0,0,109,273,0,
