"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Ryan Rollins,,1.7,0.3,-0.3,
Stan Noszka,84.2,1.8,0.4,-0.2,
Johnny Juzang,80.1,1.6,0.4,-0.2,
Bernard Robinson,79.2,1.7,0.3,0.1,
Bobby Wilson,70.4,1.6,0.2,0.0,-0.1
Orlando Johnson,67.0,1.5,0.1,-0.2,
Isaac Bonga,66.6,1.8,0.1,0.0,-0.1
Travis Mays,66.6,2.1,0.3,0.0,
John Kuester,66.1,1.9,0.1,0.0,
Cliff Barker,64.8,2.2,0.1,-0.2,
Tracy Jackson,63.1,1.7,0.7,0.0,
