"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Cedric Simmons,,0.3,0.0,-0.2
Bill Franklin,10.1,0.3,0.1,-0.2
Lazar Hayward,9.2,0.3,0.1,-0.1
Acie Earl,-6.8,0.3,0.2,-0.2
Henry Ellenson,-15.2,0.4,0.1,-0.2
Eddie Mast,-17.0,0.4,0.1,-0.2
Ignas Brazdeikis,-25.9,0.5,0.1,-0.1
Pops Mensah-Bonsu,-26.0,0.3,0.0,0.0
Bob Bigelow,-26.8,0.4,0.0,0.0
Scooter McCray,-26.8,0.3,0.1,0.0
Qyntel Woods,-29.3,0.2,0.0,-0.2
