"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Isaiah Joe,,5.1,3.8,3.5,0.6,0.4
Duncan Robinson,93.4,5.3,3.9,3.7,0.5,0.2
Luther Head,92.2,5.7,3.5,3.5,0.6,0.6
Carlos Delfino,88.8,4.8,4.0,2.9,1.0,0.5
Derrick White,88.4,5.1,4.2,3.6,1.9,0.5
Donte DiVincenzo,88.3,4.3,4.2,3.6,0.7,0.6
Johnny Egan,88.1,5.1,3.6,3.2,1.3,0.0
J.R. Smith,88.0,5.8,3.7,3.7,1.2,0.2
Lou Williams,88.0,5.2,4.4,3.4,1.1,-0.1
Jerry Sichting,87.7,5.2,3.5,2.7,1.1,0.3
Darnell Valentine,87.6,5.0,3.7,3.4,1.7,1.0
