"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Darnell Jackson,,0.8,0.7,-0.3,,,
Isaiah Livers,77.6,1.0,0.7,-0.1,,,
Walt Piatkowski,66.1,1.2,0.8,-0.2,,,
Antonio Lang,63.9,0.8,0.7,0.1,0.1,0.0,-0.1
Dontonio Wingfield,62.7,0.9,0.9,0.0,-0.1,,
Tyler Cook,57.0,0.8,0.5,0.2,,,
James Wilkes,56.8,1.1,0.8,0.1,,,
Thanasis Antetokounmpo,55.3,0.9,0.7,0.2,0.1,0.0,0.0
Nathan Knight,55.1,1.0,0.7,0.4,,,
Mark Hendrickson,53.9,0.9,0.8,0.3,0.1,,
Lou Tsioropoulos,51.6,1.4,0.7,0.0,,,
