"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Matt Barnes,,6.3,5.9,4.3,4.3,3.7,3.5,3.0,3.0,2.6,2.3,2.0,1.0,0.7,0.4,,
Sam Mitchell,92.9,6.1,5.1,5.1,4.3,3.7,3.3,3.0,2.8,2.3,2.3,2.2,0.9,0.6,,,
Al Harrington,92.0,5.9,5.4,4.3,3.9,3.9,3.8,3.5,3.2,2.6,2.1,1.6,1.2,1.0,0.4,0.0,-0.2
Antoine Carr,90.9,5.5,5.4,4.3,4.0,3.8,3.5,3.3,2.4,2.2,2.1,2.1,1.5,1.2,0.7,0.1,0.0
Kyle Anderson,88.9,6.2,5.6,5.1,4.5,3.5,3.5,2.8,2.7,2.7,2.5,0.3,,,,,
Jae Crowder,88.4,7.3,6.7,4.4,4.3,3.9,3.8,3.3,2.6,2.3,1.6,1.5,1.2,0.1,,,
Thurl Bailey,87.8,6.8,6.5,5.4,4.6,4.0,3.7,3.6,3.1,2.6,2.6,1.2,0.9,,,,
Marcus Morris,87.6,5.4,4.5,4.2,4.0,3.9,3.6,3.6,3.2,2.4,2.0,1.8,1.0,-0.2,,,
Jared Dudley,86.9,5.6,5.3,5.1,4.8,4.6,4.1,2.9,2.7,2.4,1.8,1.8,0.8,0.8,0.1,,
Matt Bonner,86.4,6.8,4.4,4.2,4.1,4.0,3.7,2.5,2.2,2.1,2.0,1.8,0.8,,,,
Rick Fox,86.3,5.3,5.2,5.1,5.1,4.3,3.6,3.2,3.2,2.8,2.3,2.1,1.8,0.8,,,
