Season,Team,Lg,Salary
2004-05,Sacramento Kings,NBA,"$695,046"
2005-06,Philadelphia 76ers,NBA,"$552,269"
2005-06,New York Knicks,NBA,"$131,593"
2006-07,Golden State Warriors,NBA,"$771,331"
2007-08,Golden State Warriors,NBA,"$3,000,000"
2008-09,Phoenix Suns,NBA,"$926,678"
2009-10,Orlando Magic,NBA,"$1,600,000"
2010-11,Los Angeles Lakers,NBA,"$1,765,000"
2011-12,Los Angeles Lakers,NBA,"$1,906,200"
2012-13,Los Angeles Clippers,NBA,"$1,229,255"
2013-14,Los Angeles Clippers,NBA,"$3,250,000"
2014-15,Los Angeles Clippers,NBA,"$3,396,250"
2015-16,Memphis Grizzlies,NBA,"$3,542,500"
2016-17,Sacramento Kings,NBA,"$6,125,000"
2016-17,Golden State Warriors,NBA,"$383,351"
2017-18,Sacramento Kings,NBA,"$2,133,542"
2018-19,Sacramento Kings,NBA,"$2,133,542"
2019-20,Sacramento Kings,NBA,"$2,133,541"
Career,(may be incomplete),,"$35,675,098"
