"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'College')","('Unnamed: 3_level_0', 'G')","('Unnamed: 4_level_0', 'MP')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', '3P')","('Totals', '3PA')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'ORB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Shooting', 'FG%')","('Shooting', '3P%')","('Shooting', 'FT%')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')"
2004-05,18.0,FLORIDA,32,606,33,89,16,47,42,54,5,31,69,31,1,51,51,124,0.371,0.34,0.778,18.9,3.9,1.0,2.2
2005-06,19.0,FLORIDA,39,1302,130,355,88,229,171,193,15,115,184,51,5,124,63,519,0.366,0.384,0.886,33.4,13.3,2.9,4.7
2006-07,20.0,FLORIDA,40,1328,154,347,82,202,141,166,9,96,147,42,1,107,60,531,0.444,0.406,0.849,33.2,13.3,2.4,3.7
Career,,,111,3236,317,791,186,478,354,413,29,242,400,124,7,282,174,1174,0.401,0.389,0.857,29.2,10.6,2.2,3.6
