"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Andrew Goudelock,,0.1,0.0,0.0
Mac McClung,17.7,0.1,0.0,0.0
Bo Kimble,4.2,0.1,0.0,0.0
Jared Cunningham,-16.6,0.1,0.0,0.0
Ron Harper Jr.,-18.2,0.2,0.0,0.0
Ira Bowman,-27.1,0.1,0.1,0.0
Jarell Eddie,-32.2,0.1,0.1,0.0
Trey Johnson,-33.4,0.1,0.0,-0.1
Lindell Wigginton,-38.8,0.2,0.1,0.0
Dell Demps,-39.7,0.2,0.0,0.0
Devon Dotson,-45.9,0.2,0.1,0.0
