"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Jeremiah Robinson-Earl,,1.9,1.7,1.5,0.6,,
Terry Driscoll,89.7,1.7,1.7,1.5,0.3,0.0,
Johnny Baum,89.6,2.0,1.9,1.5,0.4,-0.1,
Trendon Watford,87.8,2.1,1.9,1.8,0.7,,
Bob Brannum,85.1,2.0,1.6,1.1,0.8,0.0,
Chimezie Metu,84.8,2.1,1.5,1.5,0.6,0.3,-0.3
James Hardy,83.8,2.5,1.8,1.3,0.7,,
Dorie Murrey,83.4,2.2,1.9,1.6,0.5,0.2,0.1
Ben Coleman,82.0,2.0,1.8,0.8,0.5,0.0,
Togo Palazzi,81.5,2.0,1.7,1.6,0.8,0.6,-0.2
Al Thornton,80.7,2.2,1.6,1.3,1.1,,
