"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Cory Joseph,,4.5,3.5,3.5,3.4,3.1,2.9,2.5,2.3,2.1,1.8,1.5,0.9,0.2,0.0,,
Anthony Peeler,91.0,4.1,3.8,3.7,3.4,3.2,2.7,2.5,2.4,2.2,1.1,0.8,0.6,0.5,,,
C.J. Miles,90.7,4.0,3.6,3.1,2.9,2.9,2.6,2.5,2.5,1.9,1.9,1.5,0.7,0.3,0.1,0.0,-0.5
Tim Hardaway Jr.,89.1,4.8,4.4,4.3,3.5,3.1,2.6,2.3,2.2,2.0,1.9,1.8,0.8,,,,
Mike Gale,88.1,4.7,4.0,3.9,3.6,3.4,3.3,2.6,2.4,2.4,2.2,2.0,,,,,
Trent Tucker,86.9,4.6,4.0,4.0,3.4,3.3,3.3,3.0,2.9,2.8,1.9,1.1,,,,,
Dennis Schr̦der,85.5,3.8,3.7,3.6,3.3,3.2,2.9,2.9,2.8,2.6,2.5,2.2,-0.7,,,,
T.J. McConnell,84.3,4.8,3.9,3.8,3.8,3.3,3.2,3.1,2.9,1.9,1.3,,,,,,
Shaun Livingston,83.9,4.6,4.4,3.3,2.6,2.6,2.4,2.0,1.9,1.8,1.3,1.3,1.2,0.4,0.1,,
Marco Belinelli,83.3,5.9,3.7,3.4,3.2,3.0,2.9,2.9,2.5,1.2,0.8,0.5,0.5,0.0,,,
Tony Allen,82.3,5.1,4.7,4.2,4.1,3.1,2.7,2.7,2.7,2.4,1.9,1.9,1.7,1.6,0.1,,
