"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
De'Anthony Melton,,4.2,3.7,2.2,2.1,1.7,0.2,0.0
John Konchar,90.7,4.2,3.5,2.2,1.7,1.5,0.7,
Andre Roberson,89.3,4.2,3.4,2.2,2.1,0.8,0.0,-0.1
Devin Brown,88.5,3.7,3.5,2.4,1.7,1.4,0.1,-0.1
Charlie Bell,88.4,4.0,3.3,2.2,2.0,1.3,-0.1,-0.2
Daniel Gibson,88.2,4.1,3.8,2.6,2.4,2.0,0.5,0.5
Anfernee Simons,88.1,4.2,2.5,2.2,1.9,1.8,0.2,0.1
Frank Johnson,87.1,4.3,3.0,2.1,1.9,1.6,0.5,0.5
Sasha VujaÄiÄ,86.2,3.7,3.6,2.1,2.0,1.8,1.4,0.2
Whitey Skoog,85.5,4.1,3.6,2.9,1.9,1.0,0.7,
Fred Jones,84.7,4.8,4.0,2.6,2.2,1.6,1.2,0.0
