Highlight,Unnamed: 1,In Stathead
"Career high, Points",35.0,View full stats from top 20 games
"Career high, Rebounds",17.0,View full stats from top 20 games
"Career high, Assists",25.0,View full stats from top 20 games
"Career high, Steals",8.0,View full stats from top 20 games
"Career high, Blocks",3.0,View full stats from top 20 games
"Career high, Game Score",31.1,View full stats from top 20 games
Triple-Doubles,32.0,View all
