"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Tari Eason,,5.0,2.6,1.3
Kwame Brown,93.3,4.9,2.5,0.8
Linas Kleiza,93.2,4.7,2.8,1.2
James Bailey,93.0,4.9,2.9,1.0
George Irvine,92.8,5.5,2.5,1.2
Antoine Walker,92.4,4.8,2.6,1.7
Ben Poquette,91.0,4.9,2.5,0.6
Phil Hubbard,89.6,4.5,2.6,1.6
Jaden McDaniels,89.0,4.4,2.4,1.4
Dave Meyers,88.6,5.0,2.4,2.2
Rondae Hollis-Jefferson,88.5,4.1,2.6,1.2
