0
2009-10 NBA 380 (18th)
2012-13 NBA 600 (1st)
2013-14 NBA 615 (1st)
2014-15 NBA 646 (1st)
2015-16 NBA 886 (1st)
2016-17 NBA 789 (1st)
2017-18 NBA 501 (14th)
2018-19 NBA 810 (2nd)
2020-21 NBA 801 (1st)
2021-22 NBA 750 (1st)
2022-23 NBA 639 (6th)
2023-24 NBA 876 (1st)
2024-25 NBA 784 (2nd)
2025-26 NBA 149 (1st)
Active 9738 (1st)
Career 9738 (1st)
Career NBA 9738 (1st)
Career Playoffs 1637 (1st)
Career NBA Playoffs 1637 (1st)
Career (Reg+Playoffs) 11375 (1st)
Career NBA (Reg+Playoffs) 11375 (1st)
