"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
TomÃ¡Å¡ SatoranskÃ½,,5.0,4.7,3.5,3.1,1.0,0.6,,,
Dean Meminger,88.6,5.0,4.4,3.9,2.2,1.0,0.2,,,
Jim Seminoff,86.0,5.4,4.5,3.6,3.4,,,,,
Keldon Johnson,85.4,4.9,3.3,3.2,3.0,1.3,1.1,,,
T.J. Ford,85.0,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,
Malik Beasley,84.4,4.7,4.5,3.5,2.9,1.4,1.3,1.2,0.3,0.2
Kenny Sailors,83.7,5.2,4.9,3.7,1.7,1.6,,,,
Coby White,83.4,4.7,4.5,3.1,2.4,2.4,0.9,,,
Gary Trent Jr.,82.3,5.6,4.5,3.3,2.5,1.7,1.7,-0.2,,
Isaac Okoro,82.1,4.2,4.2,4.2,2.5,0.9,,,,
Al Wood,81.8,4.4,4.2,2.5,2.3,1.0,0.9,,,
