Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2014-15,26,NOP,NBA,C,3,0,10,20.9,20.9,1.0,0.0,0.0,20.9,20.9,1.0,1.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,0.0,0.0,10.4,41.8,202,109,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,10,20.9,20.9,1.0,0.0,0.0,20.9,20.9,1.0,1.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,0.0,0.0,10.4,41.8,202,109,
