"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Alexis AjinÃ§a,,3.2,2.1,1.0,1.0,0.4,0.0,-0.1,
Å½eljko RebraÄa,85.7,3.3,2.4,1.3,0.7,0.5,,,
Stanley Roberts,83.9,3.2,2.1,1.8,0.7,0.5,0.0,-0.1,-0.1
Tarik Black,81.2,3.1,2.4,1.5,0.7,,,,
Salah Mejri,80.4,3.0,2.7,1.3,1.1,,,,
Cole Aldrich,78.9,3.5,2.2,1.3,1.2,0.6,0.6,0.2,0.0
Travis Knight,77.2,3.3,3.0,1.1,0.6,0.2,-0.1,-0.3,
Day'Ron Sharpe,74.7,2.9,2.7,1.6,1.2,,,,
Jim McIlvaine,72.8,3.0,1.9,1.8,1.5,0.8,0.3,0.1,
Isaiah Jackson,72.7,3.3,2.7,1.4,0.3,,,,
Art Spoelstra,72.7,3.7,1.8,1.7,1.4,,,,
